fecha,tipo_vuelo,categoria,aeronave,semana,num_operaciones
2022-06-29,Salida,FAM,Helicóptero,15,1
2022-06-30,Llegada,Comercial,Avión,15,6
2022-06-30,Llegada,FAM,Avión,15,2
2022-06-30,Llegada,Privado,Avión,15,1
2022-06-30,Salida,Comercial,Avión,15,6
2022-06-30,Salida,FAM,Avión,15,5
2022-07-01,Llegada,Comercial,Avión,15,6
2022-07-01,Llegada,FAM,Avión,15,2
2022-07-01,Llegada,Privado,Avión,15,1
2022-07-01,Salida,Comercial,Avión,15,6
2022-07-01,Salida,Privado,Avión,15,1
2022-07-02,Llegada,Comercial,Avión,15,4
2022-07-02,Llegada,FAM,Avión,15,3
2022-07-02,Salida,Comercial,Avión,15,4
2022-07-02,Salida,FAM,Avión,15,4
2022-07-03,Llegada,Comercial,Avión,15,4
2022-07-03,Llegada,FAM,Avión,15,3
2022-07-03,Salida,Comercial,Avión,15,4
2022-07-03,Salida,FAM,Avión,15,2
2022-07-04,Llegada,Comercial,Avión,16,4
2022-07-04,Llegada,FAM,Avión,16,4
2022-07-04,Salida,Comercial,Avión,16,4
2022-07-04,Salida,FAM,Avión,16,4
2022-07-05,Llegada,Comercial,Avión,16,6
2022-07-05,Llegada,FAM,Avión,16,1
2022-07-05,Llegada,Privado,Avión,16,2
2022-07-05,Salida,Comercial,Avión,16,6
2022-07-05,Salida,Privado,Avión,16,1
2022-07-06,Llegada,Comercial,Avión,16,4
2022-07-06,Salida,Comercial,Avión,16,4
2022-07-07,Llegada,Comercial,Avión,16,5
2022-07-07,Llegada,FAM,Avión,16,2
2022-07-07,Salida,Comercial,Avión,16,5
2022-07-07,Salida,FAM,Avión,16,2
2022-07-08,Llegada,Comercial,Avión,16,5
2022-07-08,Llegada,FAM,Avión,16,2
2022-07-08,Salida,Comercial,Avión,16,5
2022-07-08,Salida,FAM,Avión,16,1
2022-07-08,Salida,Privado,Avión,16,3
2022-07-09,Llegada,Comercial,Avión,16,6
2022-07-09,Salida,Comercial,Avión,16,5
2022-07-10,Llegada,Comercial,Avión,16,5
2022-07-10,Llegada,FAM,Avión,16,1
2022-07-10,Salida,Comercial,Avión,16,5
2022-07-10,Salida,FAM,Avión,16,3
2022-07-11,Llegada,Comercial,Avión,17,5
2022-07-11,Salida,Comercial,Avión,17,5
2022-07-12,Llegada,Comercial,Avión,17,5
2022-07-12,Llegada,FAM,Avión,17,5
2022-07-12,Salida,Comercial,Avión,17,5
2022-07-12,Salida,FAM,Avión,17,3
2022-07-13,Llegada,Comercial,Avión,17,5
2022-07-13,Salida,Comercial,Avión,17,5
2022-07-13,Salida,FAM,Avión,17,3
2022-07-14,Llegada,Comercial,Avión,17,5
2022-07-14,Salida,Comercial,Avión,17,5
2022-07-14,Salida,FAM,Avión,17,2
2022-07-14,Salida,Privado,Avión,17,1
2022-07-15,Llegada,Comercial,Avión,17,6
2022-07-15,Llegada,FAM,Avión,17,5
2022-07-15,Salida,Comercial,Avión,17,6
2022-07-15,Salida,FAM,Avión,17,3
2022-07-16,Llegada,Comercial,Avión,17,5
2022-07-16,Llegada,FAM,Avión,17,2
2022-07-16,Salida,Comercial,Avión,17,5
2022-07-16,Salida,FAM,Avión,17,2
2022-07-17,Llegada,Comercial,Avión,17,6
2022-07-17,Salida,Comercial,Avión,17,6
2022-07-18,Llegada,Carga,Avión,18,1
2022-07-18,Llegada,Comercial,Avión,18,5
2022-07-18,Llegada,FAM,Avión,18,2
2022-07-18,Llegada,Privado,Helicóptero,18,1
2022-07-18,Salida,Comercial,Avión,18,5
2022-07-18,Salida,FAM,Avión,18,3
2022-07-18,Salida,Privado,Helicóptero,18,1
2022-07-19,Llegada,Comercial,Avión,18,7
2022-07-19,Llegada,FAM,Avión,18,1
2022-07-19,Salida,Carga,Avión,18,1
2022-07-19,Salida,Comercial,Avión,18,7
2022-07-19,Salida,FAM,Avión,18,1
2022-07-20,Llegada,Comercial,Avión,18,6
2022-07-20,Salida,Comercial,Avión,18,6
2022-07-21,Llegada,Comercial,Avión,18,6
2022-07-21,Llegada,FAM,Avión,18,1
2022-07-21,Salida,Comercial,Avión,18,6
2022-07-21,Salida,FAM,Avión,18,2
2022-07-22,Llegada,Comercial,Avión,18,7
2022-07-22,Llegada,FAM,Avión,18,1
2022-07-22,Salida,Comercial,Avión,18,6
2022-07-23,Llegada,Comercial,Avión,18,6
2022-07-23,Llegada,FAM,Avión,18,2
2022-07-23,Salida,Comercial,Avión,18,6
2022-07-23,Salida,FAM,Avión,18,2
2022-07-24,Llegada,Comercial,Avión,18,6
2022-07-24,Llegada,FAM,Avión,18,2
2022-07-24,Salida,Comercial,Avión,18,6
2022-07-24,Salida,FAM,Avión,18,2
2022-07-25,Llegada,Comercial,Avión,19,6
2022-07-25,Llegada,FAM,Avión,19,1
2022-07-25,Salida,Comercial,Avión,19,6
2022-07-25,Salida,FAM,Avión,19,2
2022-07-26,Llegada,Comercial,Avión,19,6
2022-07-26,Llegada,FAM,Avión,19,2
2022-07-26,Llegada,FAM,Helicóptero,19,1
2022-07-26,Llegada,Privado,Avión,19,1
2022-07-26,Llegada,Privado,Helicóptero,19,1
2022-07-26,Salida,Comercial,Avión,19,6
2022-07-26,Salida,FAM,Helicóptero,19,1
2022-07-26,Salida,Privado,Avión,19,1
2022-07-26,Salida,Privado,Helicóptero,19,1
2022-07-27,Llegada,Comercial,Avión,19,6
2022-07-27,Llegada,Privado,Avión,19,2
2022-07-27,Salida,Comercial,Avión,19,6
2022-07-27,Salida,Privado,Avión,19,2
2022-07-28,Llegada,Comercial,Avión,19,6
2022-07-28,Llegada,FAM,Avión,19,1
2022-07-28,Salida,Comercial,Avión,19,6
2022-07-28,Salida,FAM,Avión,19,3
2022-07-29,Llegada,Comercial,Avión,19,5
2022-07-29,Llegada,FAM,Avión,19,3
2022-07-29,Salida,Comercial,Avión,19,5
2022-07-29,Salida,FAM,Avión,19,1
2022-07-30,Llegada,Comercial,Avión,19,6
2022-07-30,Llegada,FAM,Avión,19,2
2022-07-30,Salida,Comercial,Avión,19,6
2022-07-30,Salida,FAM,Avión,19,1
2022-07-31,Llegada,Comercial,Avión,19,6
2022-07-31,Llegada,FAM,Avión,19,1
2022-07-31,Salida,Comercial,Avión,19,6
2022-07-31,Salida,FAM,Avión,19,1
2022-08-01,Llegada,Comercial,Avión,20,6
2022-08-01,Salida,Comercial,Avión,20,5
2022-08-01,Salida,FAM,Avión,20,3
2022-08-02,Llegada,Comercial,Avión,20,7
2022-08-02,Llegada,FAM,Avión,20,3
2022-08-02,Salida,Comercial,Avión,20,7
2022-08-02,Salida,FAM,Avión,20,1
2022-08-03,Llegada,Comercial,Avión,20,6
2022-08-03,Salida,Comercial,Avión,20,6
2022-08-04,Llegada,Comercial,Avión,20,5
2022-08-04,Salida,Comercial,Avión,20,5
2022-08-04,Salida,FAM,Avión,20,3
2022-08-05,Llegada,Comercial,Avión,20,5
2022-08-05,Llegada,FAM,Avión,20,5
2022-08-05,Llegada,Guardia Nacional,Avión,20,1
2022-08-05,Llegada,Privado,Avión,20,1
2022-08-05,Salida,Comercial,Avión,20,5
2022-08-05,Salida,FAM,Avión,20,4
2022-08-05,Salida,Guardia Nacional,Avión,20,1
2022-08-06,Llegada,Comercial,Avión,20,6
2022-08-06,Llegada,FAM,Avión,20,3
2022-08-06,Salida,Comercial,Avión,20,6
2022-08-06,Salida,FAM,Avión,20,1
2022-08-07,Llegada,Carga,Avión,20,1
2022-08-07,Llegada,Comercial,Avión,20,7
2022-08-07,Llegada,FAM,Avión,20,1
2022-08-07,Salida,Carga,Avión,20,1
2022-08-07,Salida,Comercial,Avión,20,7
2022-08-07,Salida,FAM,Avión,20,1
2022-08-07,Salida,Privado,Avión,20,1
2022-08-08,Llegada,Charter,Avión,21,1
2022-08-08,Llegada,Comercial,Avión,21,5
2022-08-08,Llegada,FAM,Avión,21,1
2022-08-08,Salida,Charter,Avión,21,1
2022-08-08,Salida,Comercial,Avión,21,5
2022-08-08,Salida,FAM,Avión,21,1
2022-08-09,Llegada,Comercial,Avión,21,6
2022-08-09,Salida,Comercial,Avión,21,6
2022-08-10,Llegada,Comercial,Avión,21,6
2022-08-10,Llegada,FAM,Avión,21,3
2022-08-10,Llegada,Privado,Avión,21,1
2022-08-10,Llegada,NA,Avión,21,1
2022-08-10,Salida,Comercial,Avión,21,7
2022-08-10,Salida,FAM,Avión,21,2
2022-08-10,Salida,Privado,Avión,21,1
2022-08-11,Llegada,Charter,Avión,21,1
2022-08-11,Llegada,Comercial,Avión,21,5
2022-08-11,Llegada,FAM,Avión,21,3
2022-08-11,Salida,Charter,Avión,21,1
2022-08-11,Salida,Comercial,Avión,21,5
2022-08-11,Salida,FAM,Avión,21,6
2022-08-12,Llegada,Comercial,Avión,21,5
2022-08-12,Llegada,FAM,Avión,21,6
2022-08-12,Salida,Comercial,Avión,21,5
2022-08-12,Salida,FAM,Avión,21,3
2022-08-13,Llegada,Comercial,Avión,21,6
2022-08-13,Llegada,FAM,Avión,21,3
2022-08-13,Llegada,Privado,Avión,21,1
2022-08-13,Salida,Comercial,Avión,21,6
2022-08-13,Salida,FAM,Avión,21,4
2022-08-14,Llegada,Comercial,Avión,21,7
2022-08-14,Llegada,FAM,Avión,21,2
2022-08-14,Salida,Comercial,Avión,21,7
2022-08-14,Salida,FAM,Avión,21,2
2022-08-14,Salida,Privado,Avión,21,1
2022-08-15,Llegada,Comercial,Avión,22,13
2022-08-15,Llegada,FAM,Avión,22,4
2022-08-15,Salida,Comercial,Avión,22,13
2022-08-15,Salida,FAM,Avión,22,6
2022-08-16,Llegada,Charter,Avión,22,1
2022-08-16,Llegada,Comercial,Avión,22,13
2022-08-16,Llegada,FAM,Avión,22,6
2022-08-16,Llegada,Privado,Avión,22,1
2022-08-16,Salida,Comercial,Avión,22,12
2022-08-16,Salida,FAM,Avión,22,4
2022-08-16,Salida,Privado,Avión,22,1
2022-08-17,Llegada,Comercial,Avión,22,12
2022-08-17,Llegada,FAM,Avión,22,1
